Layer,Name,GEOID,INC_2020-2024,PCI_2020-2024
,,,"Median household income, 2020-2024","Per capita income, 2020-2024"
Community area,Rogers Park,1,64982.84252006701,41401.316073557224
Community area,Norwood Park,10,117196.55685334843,53787.75290118216
Community area,Jefferson Park,11,99973.6803472109,51002.44814039693
Community area,Forest Glen,12,143029.53249393537,72837.37767535771
Community area,North Park,13,70550.56287265262,39578.42721913615
Community area,Albany Park,14,89407.95574996143,44491.796264110155
Community area,Portage Park,15,94793.33527687968,44349.38581261013
Community area,Irving Park,16,95607.64589337097,56385.870691587596
Community area,Dunning,17,90515.97830108434,44271.487412879054
Community area,Montclare,18,75265.40557758701,32067.4275913065
Community area,Belmont Cragin,19,71804.04911649399,27440.443726641617
Community area,West Ridge,2,73238.98414882923,35877.987445532795
Community area,Hermosa,20,72340.60511816059,29918.931637904443
Community area,Avondale,21,94420.99189483731,52603.49354860667
Community area,Logan Square,22,114817.95318301945,74500.17704394886
Community area,Humboldt Park,23,59968.129220729665,28708.821383061924
Community area,West Town,24,144912.84638268128,96868.06275742286
Community area,Austin,25,53210.22020502566,25968.21779155514
Community area,West Garfield Park,26,44427.692980265936,21901.949767195372
Community area,East Garfield Park,27,40925.31751472526,24981.06250643007
Community area,Near West Side,28,120001.0408884595,89118.29765026132
Community area,North Lawndale,29,48940.463732409815,24904.30189484997
Community area,Uptown,3,75060.97549273766,57044.73570366493
Community area,South Lawndale,30,60232.00244282632,23481.810512608154
Community area,Lower West Side,31,79001.65569463185,45198.61044018997
Community area,Loop,32,122403.8615384592,103268.59585138268
Community area,Near South Side,33,125691.25005143318,93759.31435691674
Community area,Armour Square,34,46869.98353348693,31640.17043206509
Community area,Douglas,35,62014.91003654251,37199.79726516988
Community area,Oakland,36,33101.15730793351,40077.65409389336
Community area,Fuller Park,37,22611.6728443123,17548.600323237297
Community area,Grand Boulevard,38,60084.999984733935,40312.24722290098
Community area,Kenwood,39,75769.20042229342,68400.08759765732
Community area,Lincoln Square,4,93801.76866439762,64888.95552903923
Community area,Washington Park,40,38544.71490082955,23063.011972245284
Community area,Hyde Park,41,79064.17608693347,63579.46219920377
Community area,Woodlawn,42,43602.9805198768,28655.704870406156
Community area,South Shore,43,46804.22040725177,31648.5740753908
Community area,Chatham,44,49622.55670651242,32587.422785031144
Community area,Avalon Park,45,62163.9815862845,36547.00386545608
Community area,South Chicago,46,46329.19243107144,27026.59693517347
Community area,Burnside,47,48314.5348858404,30930.172720749575
Community area,Calumet Heights,48,67143.02698569688,42283.69725156983
Community area,Roseland,49,55812.79965880217,27446.402059646876
Community area,North Center,5,151643.65677354473,91968.66757322
Community area,Pullman,50,64163.41037048533,34519.503974956
Community area,South Deering,51,49242.91678503281,24421.898472848025
Community area,East Side,52,65078.014273937166,27299.59778198645
Community area,West Pullman,53,55745.050595940105,26292.12923641744
Community area,Riverdale,54,17398.57753924702,15297.894395684378
Community area,Hegewisch,55,63393.72047586671,34697.106312719014
Community area,Garfield Ridge,56,96027.22944327543,41294.395733949
Community area,Archer Heights,57,68913.01865176772,28396.71155105663
Community area,Brighton Park,58,65766.34958695424,27209.962551060835
Community area,McKinley Park,59,87299.79457207967,39440.47556350021
Community area,Lake View,6,124617.15396904194,93636.32985135833
Community area,Bridgeport,60,79849.92915471407,43002.114610657016
Community area,New City,61,59344.98447744036,24288.755181582266
Community area,West Elsdon,62,79826.91180773941,33073.34199172965
Community area,Gage Park,63,63986.318160981114,24476.338447590373
Community area,Clearing,64,82853.70998346133,36993.702989835525
Community area,West Lawn,65,71435.72681887368,27602.4738622903
Community area,Chicago Lawn,66,55452.29964309939,25194.745031389095
Community area,West Englewood,67,43027.728299747105,21467.625456259262
Community area,Englewood,68,32941.275009064746,20425.731376508335
Community area,Greater Grand Crossing,69,43488.8073316716,26592.489201660304
Community area,Lincoln Park,7,161083.80965897138,117027.84008476164
Community area,Ashburn,70,86172.61156026028,31774.53365013665
Community area,Auburn Gresham,71,49585.99728173461,26285.74458679695
Community area,Beverly,72,134420.31649523543,64299.65135639718
Community area,Washington Heights,73,66484.2114044395,32787.04332995993
Community area,Mount Greenwood,74,115566.81085597158,53261.87451127519
Community area,Morgan Park,75,74888.30648762379,40328.33820058452
Community area,O'Hare,76,84182.0788948385,49411.4762734671
Community area,Edgewater,77,77796.98971173393,57327.84071177321
Community area,Near North Side,8,128440.547157735,125192.55811429853
Community area,Edison Park,9,133601.11768993558,68577.45209759062
